"Policy Instrument","Main Classification","Secondary Classification","url"
"Free weekly webinars run by industry experts","Administrative","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Free access to cyberland online platform","Welfare","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Free online training courses for cyber security skills","Welfare","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Fully virtual training programmes for cyber security skills","Welfare","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Online initiative to inspire future talent to work in the cyber security sector","Institutional","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Launch of the national cyber security centre's (ncsc) cyberfirst summer courses","Institutional","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Creation of a virtual cyber school","Institutional","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Partnership between the national crime agency and cyber security challenge uk","Institutional","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Partnership between the national cyber security centre and cyber security challenge uk","Institutional","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Online platform to teach teenagers the fundamentals of cyber security","Market-based","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Online games to encourage young people to improve cyber skills safely and legally","Market-based","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Public awareness campaigns to encourage young people to consider future careers in cyber security","Informational","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"Public awareness campaigns to promote the virtual cyber school","Informational","","https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home"
"£16.4 million of funding to help councils access £3.6 billion towns fund","Welfare","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"£3.6 billion towns fund","Welfare","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"£1.325 billion to support towns","Welfare","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Capacity funding to kick-start town deals","Welfare","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Competition for further towns to develop plans for their own town deals","Legislative","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Town deal boards including representatives from across the public, private and voluntary sectors","Administrative","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Town investment plans by summer 2020","Administrative","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Negotiations with the government","Legislative","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Levelling up all parts of the country","Legislative","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Creation of a new generation of town deals","Institutional","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Regeneration of town centres, boost businesses and improve infrastructure","Welfare","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Redevelopment of vacant buildings and land","Welfare","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Drive private sector investment by supporting small businesses","Welfare","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Ensure young people have the skills they need to get good jobs","Welfare","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Boost their transport links and increase access to high-speed broadband","Welfare","","https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed"
"Statutory guidance for local authorities to secure access to youth work","Legislative","","https://www.gov.uk/government/news/opening-doors-for-young-disabled-people-to-engage-in-youth-work"
"Further training for adult workers and volunteers","Welfare","","https://www.gov.uk/government/news/opening-doors-for-young-disabled-people-to-engage-in-youth-work"
"Better planning of services in relation to local need","Administrative","","https://www.gov.uk/government/news/opening-doors-for-young-disabled-people-to-engage-in-youth-work"
"Better training for adult workers and volunteers","Welfare","","https://www.gov.uk/government/news/opening-doors-for-young-disabled-people-to-engage-in-youth-work"
"Collaboration between local authorities, charities, and the voluntary sector","Administrative","","https://www.gov.uk/government/news/opening-doors-for-young-disabled-people-to-engage-in-youth-work"
"Sharing expertise between local authorities, charities, and the voluntary sector","Administrative","","https://www.gov.uk/government/news/opening-doors-for-young-disabled-people-to-engage-in-youth-work"
"Employer's Charter","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employer's Charter","Informational","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Welfare","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Monetary","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Legislative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
"Employment Tribunals Reform","Administrative","","https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government"
