"id","Main Classification","Secondary Classification","Policy Instrument","url","cc_url"
"25_0","Legislative","Welfare","Asset freeze","https://www.gov.uk/government/news/uk-sanctions-target-30-corrupt-political-figures-human-rights-violators-and-perpetrators-of-conflict-related-sexual-violence-around-the-world","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648357851.76/wet/CC-MAIN-20251005114239-20251005144239-00498.warc.wet.gz"
"25_1","Welfare","Legislative","  ""Funding (£500","https://www.gov.uk/government/news/new-funding-to-help-universities-tackle-antisemitism-announced-on-holocaust-memorial-day?utm_source=8e297f92-7b1d-4fce-9a37-f1a1016abf0e&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648357851.76/wet/CC-MAIN-20251005114239-20251005144239-00545.warc.wet.gz"
"25_2","Welfare",""," ""Taser 10 device""","https://govdiff.njk.onl/update/2025-10-03T07:35:00+01:00/www.gov.uk/government/news/new-taser-approved-for-uk-police-forces-to-protect-public","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648357861.3/wet/CC-MAIN-20251005144813-20251005174813-00254.warc.wet.gz"
"25_3","Welfare",""," ""Funding (£500","https://govdiff.njk.onl/update/2025-10-03T09:28:00+01:00/www.gov.uk/government/news/critical-uk-satellites-to-be-defended-from-laser-threats","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648357861.3/wet/CC-MAIN-20251005144813-20251005174813-00407.warc.wet.gz"
"25_4","Welfare","Legislative","  ""Pay rise""","https://www.gov.uk/government/news/nhs-staff-receive-pay-rise","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648357861.3/wet/CC-MAIN-20251005144813-20251005174813-00721.warc.wet.gz"
"25_5","Welfare","Legislative","  ""Pension benefits""","https://www.hants.gov.uk/hampshire-services/pensions/local-government/news/pension-awareness-week-planning-your-retirement","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648357861.3/wet/CC-MAIN-20251005144813-20251005174813-00746.warc.wet.gz"
"25_6","Welfare","Legislative","  ""Regulation of weddings""","https://govdiff.njk.onl/update/2025-10-02T11:14:00+01:00/www.gov.uk/government/news/major-boost-to-economy-through-wedding-law-reform","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648357861.3/wet/CC-MAIN-20251005144813-20251005174813-00868.warc.wet.gz"
"25_7","Welfare",""," ""International pressure to stop settlement construction""","https://www.gov.uk/government/news/occupied-palestinian-territories-joint-statement-21-august-2025?utm_source=cio","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648357946.30/wet/CC-MAIN-20251005175907-20251005205907-00246.warc.wet.gz"
"25_8","Informational","None","  ""Public awareness campaigns""","https://www.gov.uk/government/news/willetts-welcomes-crew-of-space-shuttle-atlantis-to-portsmouth-historic-dockyards","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648358124.83/wet/CC-MAIN-20251005210857-20251006000857-00287.warc.wet.gz"
"25_9","Monetary","Legislative","  ""Tax relief for independent British films""","https://www.gov.uk/government/news/culture-secretary-sets-out-plans-to-turbocharge-the-economic-impact-of-british-filmmaking","https://data.commoncrawl.org/crawl-data/CC-MAIN-2025-43/segments/1759648358137.47/wet/CC-MAIN-20251006001643-20251006031643-00249.warc.wet.gz"
