url,category,title,subtitle,from,published,content
https://www.gov.uk/government/news/new-virtual-cyber-school-gives-teens-chance-to-try-out-as-cyber-security-agents-from-home,Press release,New virtual cyber school gives teens chance to try out as cyber security agents from home,Young people encouraged to join online classes to develop problem-solving and cyber skills,"Department for Digital, Culture, Media & Sport, National Crime Agency, National Cyber Security Centre and Matt Warman",1 May 2020,"Thousands of young people are being offered the chance to join avirtual cyber security schoolas part of plans to make sure the country develops the next generation of professional cyber defenders.

At a time when schools remain closed to most children, the online initiative aims to inspire future talent to work in the cyber security sector and give students a variety of extracurricular activities to do from the safety of their homes.

Teens can learn how to crack codes, fix security flaws and dissect criminals’ digital trails while progressing through the game as a cyber agent. This will help them develop important skills needed for future jobs, particularly in cyber security.

The school provides free weekly webinars run by industry experts teaching fundamental security disciplines such as digital forensics, cryptography and operating systems.

Digital Infrastructure Minister Matt Warman said:

This new initiative will give teenagers something fun and educational to do from home and provide them with a glimpse into the life of a cyber security professional.

We have a world-leading cyber sector which plays a crucial role protecting the country and our digital economy, so it is absolutely vital we continue to inspire the next generation of tech talent to help maintain the UK’s strong position.

The move comes as the government announces a number of other online training courses to give UK school pupils the opportunity to learn and develop cyber security skills, this includes the launch of the National Cyber Security Centre’s (NCSC) hugely popularCyberFirst summer courses. The courses are moving online this year to help more than a thousand 14 to 17-year-olds develop important cyber skills from home during the coronavirus pandemic.

NCSC Chief Executive Officer Ciaran Martin said:

Technology is helping us all cope with the coronavirus crisis and is playing an essential role in keeping our businesses moving and our society connected.

It has never been more important for our young people to keep engaged and learn how to protect our digital world - and I’m delighted to see our instructor led CyberFirst summer courses made available online.

Enrolled students will learn how to code and carry out cybersecurity operations in an instructor-led virtual classroom to help guide the students through the programme and build a sense of camaraderie within each cohort.

The National Crime Agency and Cyber Security Challenge UK will also this week announce teenagers can access their online cyber skills platformCyberLandfor free during the coming months. In the game designed to teach teenagers the fundamentals of cyber security, players protect the virtual city ‘CyberLand’ from cyber attacks while learning key skills.

Deputy Director at the NCA’s National Cyber Crime Unit Jim Stokley said:

Many young people have a keen interest in technology and have developed impressive cyber skills.

The virtual cyber school and CyberFirst programmes are great initiatives which will support this next generation of cyber defenders in realising their potential.

We’ve also partnered with Cyber Security Challenge UK to offer free access to their online platform Cyberland where young people will find games that encourage them to improve cyber skills safely and legally.

Computer science teacher & EdTech evangelist Mark Martin said:

This is a great initiative to encourage young people to consider future careers in cyber security and see that they can have a tech job keeping people safe online.

The virtual cyber school will help students learn valuable skills needed to work in the industry in a fun and entertaining way. I encourage teachers to share these programmes with their students as a productive activity to do in their spare time from home.

Cyber Discovery provider SANS Chief Technology Officer James Lyne said:

Cyber security is a fascinating field packed with opportunities for innovation and to make the online world more secure. It spans every part of society and has a huge role in our future security and technology prospects as a nation.

This is your chance to learn how to ‘forensicate’ like a digital Sherlock Holmes, close down vulnerabilities before the hackers find them, and break codes.

Teachers, parents, students - get online and take advantage of this wonderful opportunity amidst the unique and challenging situation our country faces right now.

CyberFirst provider QA Chairman Sir Charlie Mayfield said:

These initiatives from NCSC and DCMS are set to deliver a great summer of learning for young people across the UK. There is a shortage of digital skills in the UK and the CyberFirst programmes tackle this issue head on – and have the added benefit of keeping young minds active at this difficult time.

The road to the UK’s economic recovery from this pandemic will be built on the skills we learn at this time. That’s why it was critical that initiatives like CyberFirst were pivoted to virtual delivery, so they could go ahead as planned. We are proud to partner with the NCSC to deliver these fully virtual training programmes."
https://www.gov.uk/government/news/blueprint-for-100-multi-million-pound-town-deals-revealed,Press release,Blueprint for 100 multi-million pound Town Deals revealed,"Towns Fund prospectus paves the way for a new generation of Town Deals to regenerate town centres, boost businesses and improve infrastructure.","Ministry of Housing, Communities & Local Government (2018 to 2021) and The Rt Hon Jake Berry",1 November 2019,"

The blueprint for a new generation of multi-million Town Deals was announced today (1 November 2019) by Communities and Local Government Secretary Rt Hon Robert Jenrick MP.

TheTowns Fund prospectusprovides information to councils in 100 places chosen to pioneer Town Deals – they will receive a share of £16.4 million capacity funding to kick-start their innovative plans and bring their communities together.

Each place will have the opportunity to bid for funding of up to £25 million as part of the government’s £3.6 billion Towns Fund.

The funding could be used to redevelop vacant buildings and land, drive private sector investment by supporting small businesses and ensure young people have the skills they need to get good jobs. Communities will also be able to consider how they can boost their transport links and increase access to high-speed broadband.

Communities and Local Government Secretary Rt Hon Robert Jenrick MP said:

This government is committed to levelling up all parts of the country. We created the £3.6bn Towns Fund to help businesses grow, connect communities and give people the skills they need to succeed.

But no place is exactly the same. That is why we want to help local people to decide how this investment of up to £25 million in each town can be used to help create new businesses, new jobs and new homes for generations to come.”

The announcement follows the launch of the My Town campaign, giving local people the chance to share what they love about their town and how they want to see it grow. In just one week, the campaign has drawn over 10,000 responses from across the country.

Lead councils in each place will now bring together a Town Deal Board including representatives from across the public, private and voluntary sectors to develop bespoke Town Investment Plans by summer 2020.

These plans will provide a clear vision for building on their town’s unique strengths to transform its economic growth prospects and form the basis of negotiations with the government.

Minister for the Northern Powerhouse and Local Growth Rt Hon Jake Berry MP said:

We are giving local people the money and power to decide what is best for their town because they know their community’s unique strengths.

Together we can build on the billions of pounds the government has already invested in our towns and the thousands of new jobs and businesses it has delivered, to level up these places across the Northern Powerhouse and beyond.

VisitFacebook.com/mytowncampaign

See the100 places being supported to develop Town Deals.

A total of 100 places – including 45 places across the Northern Powerhouse and 30 places in the Midlands Engine – will be the pioneers of new Town Deals building on the Prime Minister’s announcement in July of an additional £1.325 billion to support towns as part of a renewed vision to level up every part of our country, which took the total value of the Towns Fund to £3.6 billion.

In due course the government will announce details of a competition for further towns beyond the initial 100 to develop plans for their own Town Deals.

The government wants to make sure that all parts of the UK can benefit from resources to boost productivity and living standards. The Ministry of Housing, Communities and Local Government is in ongoing discussions with colleagues across government about how we can better support our towns in Scotland, Wales and Northern Ireland and make sure areas throughout the UK share in the opportunities of Brexit.

Office address and general enquiries

2 Marsham StreetLondonSW1P 4DF

Contact formhttps://www.gov.uk/gui...

General enquiries:  please use this number if you are a member of the public 030 3444 0000

If your enquiry is related to COVID-19 please check our guidance page first before you contact us -https://www.gov.uk/guidance/coronavirus-covid-19-guidance-for-local-government.If you still need to contact us please use the contact form above to get in touch, because of coronavirus (COVID-19). If you send it by post it will not receive a reply within normal timescale.

Media enquiries

Emailnewsdesk@communities.gov.uk

Please use this number if you are a journalist wishing to speak to Press Office 0303 444 1209

Social media - MHCLG

Twitter -https://twitter.com/mhclgFlickr -http://www.flickr.com/photos/mhclgLinkedIn -http://www.linkedin.com/company/mhclg"
https://www.gov.uk/government/news/opening-doors-for-young-disabled-people-to-engage-in-youth-work,Press release,Opening doors for young disabled people to engage in youth work,A new Ofsted survey finds that more needs to be done to ensure disabled young people can access local youth work provision.,Ofsted,31 January 2013,"The survey reporthighlights where more could be done in the planning of youth services for disabled young people within a local area. It is intended to serve as a guide to local authorities and providers to identify the key factors that make schemes successful and adapt local provision accordingly.

The reported proportions of disabled young people who access local authority youth work provision were low. Inspectors found that some disabled young people were not known to local authorities so were potentially missing out on the services on offer.

National Director for Learning and Skills, Matthew Coffey:

This survey indicates there is a worrying lack of planning in relation to the commissioning of youth services for disabled young people. Initiatives to increase access to youth work are provided through a complex network of local authority services and charities. What is clear is that better planning of services in relation to local need and better training for adult workers and volunteers would ensure more young disabled people benefit from the opportunities and support that youth work affords.

Despite this fairly negative national picture, there are examples of local authorities and providers delivering hugely effective programmes of support that have a beneficial impact on the lives of young disabled people. The best support we saw focused on developing young people’s personal, social, political and work-related skills and aptitudes.

While the government does not prescribe which services and activities for young people should be funded by the local authority, statutory guidance requires local authorities to secure access to youth work. This means some local areas see access to youth work for disabled people as a more of priority than others.

The survey noted some good planning where charities and voluntary organisations worked well together to provide for young disabled people in their leisure time. Overall, however, the report highlights inconsistencies across regions. The best local arrangements involved the local authority, charities and the voluntary sector working together and sharing expertise. Indeed, inspectors reported this mix was fundamental as it was a way of getting the best from the diminishing resources dedicated to youth work.

The report also found that many adult workers and volunteers who support young disabled people in their youth work could also be given more opportunity for further training.

Media enquiries

Clive House70 Petty FranceLondonSW1H 9EX

Emailpressenquiries@ofsted.gov.uk

Monday to Friday, 8:30am to 6pm  0300 013 0415

Out of hours duty press officer  07919 057 359"
https://www.gov.uk/government/news/workplace-dispute-reforms-proposed-by-government,News story,Workplace dispute reforms proposed by Government,The Government has announced the next steps in its comprehensive review of employment laws.,"Department for Business, Innovation & Skills",27 January 2011,"Prime Minister David Cameron said:

“Today’s announcements on reforms to employment law are among the first conclusions of our government-wide growth review, and highlight our determination to ensure that employment law is no longer seen as a barrier to growth, while making sure that employees and employers are treated fairly.

“Giving businesses the confidence to take on somebody new will be a real boost to the economy, and help generate the sustainable growth we need.”

The Government is proposing reformsto address recent concerns raised by businesses that Employment Tribunals have become too costly and take too much time, placing unnecessary strains on small businesses. The Government is seeking views on measures to:

The Employer’s Charteraims to dispel many of the myths about what an employer can and can’t do in managing their staff reasonably, fairly and lawfully, providing clarity for employers on what steps they can take when handling workplace issues with staff. It covers a wide range of employment law scenarios.

This is a guidance document intended to help employers understand what they can generally do.

The Government wants to hear your opinions on the Charter. If you are an employer let us know if this is useful, and if you were aware of what you could or couldn’t do. You can leave comments in the box below.

Please enable JavaScript to view thecomments powered by Disqus.blog comments powered by Disqus"
https://www.gov.uk/government/news/home-secretary-hails-security-agreement-with-eu?utm_source=4d0f8782-035b-43a9-804f-07ca8d48c555&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate,News story,Home Secretary hails security agreement with EU,First of its kind agreement ensures UK law enforcement has the tools it needs to help protect the public,Home Office and The Rt Hon Priti Patel MP,25 December 2020,"Home Secretary Priti Patel has hailed the UK’s new comprehensive security agreement with the EU that will see the UK continuing to be one of the safest countries in the world.

A range of fast and effective security capabilities were agreed with the EU, which will help bear down on criminals and bring them to justice.

Measures agreed include:

streamlined extradition arrangements

an arrangement enabling the fast and effective exchange of national DNA, fingerprint and vehicle registration data via the Prüm system to aid law enforcement agencies in investigating crime and terrorism

continued operational co-operation with Europol and Eurojust that reflect the scale of our contribution to these agencies

arrangements enabling the fast and effective exchange of criminal records data via shared technical infrastructure

arrangements providing for continued transfers of Passenger Name Record data to protect the public from serious crime and terrorism

It is the first time the EU has agreed such a comprehensive agreement with a third country in this area. It ensures the UK can work with counterparts across Europe to tackle serious crime and terrorism, protecting the public and bringing criminals to justice.

Home Secretary Priti Patel said:

The safety and security of UK citizens is the government’s top priority and the UK will continue to be one of the safest countries in the world.

I’m immensely proud of the  comprehensive package of capabilities we’ve agreed with the EU. It means both sides have effective tools to tackle serious crime and terrorism, protecting the public and bringing criminals to justice.

But we will also seize this historic opportunity to make the UK safer and more secure through firmer and fairer border controls.

The UK is a leader in global security and will continue to play its part on the international stage to keep people safe. In addition to the deal, work such as the UK’s 2025 Border Strategy and co-operation with international partners, will ensure we tackle threats as varied as terrorism, organised crime and illegal migration.

From 1 January 2021, free movement will end and tougher border rules for EU criminals will come into force. Under these changes, foreign criminals sentenced to more than a year in jail will be banned from entering the UK.

The UK will also make it harder for criminals to operate and smuggle illicit commodities such as guns and drugs into the country. From July 2021, the UK will start receiving advance data on all goods coming from the EU into Great Britain, something which has not previously been possible under EU rules.

The UK is also phasing out the use of insecure identity documents used to enter the UK. From 1 October 2021, the UK will refuse to recognise EEA and Swiss national identity cards which are some of the most insecure and abused documents seen at the border and often used by organised crime groups.

The government is also providing the police with more powers to protect the public. From 1 January 2021, the police will have the power to detain fugitives wanted by close partner countries immediately without having to apply for a UK arrest warrant first. This means that criminals will be brought to justice faster.

Further details on the security arrangement can be found on theUK-EU trade and co-operation agreement summary."
https://www.gov.uk/government/news/new-attorney-general-appointed--2?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_129,Press release,New Attorney General appointed,Suella Braverman MP has been appointed Attorney General for England and Wales.,Attorney General's Office and The Rt Hon Suella Braverman KC MP,13 February 2020,"The Prime Minister has appointed Suella Braverman MP as Attorney General.

The Attorney General will oversee the work of the Law Officers Departments which include the Crown Prosecution Service and Serious Fraud Office, and the Government Legal Department and HM Crown Prosecution Service Inspectorate.

The Attorney General also carries out a number of functions in the public interest, such as considering unduly lenient sentences, and taking action when there has been a contempt of court. These functions are carried out independently of their role as a Government minister.

Commenting on her appointment, Attorney General Suella Braverman MP said:

I am honoured to be appointed as Attorney General for England and Wales and look forward to working with the many excellent government lawyers and officials.

I want to thank my predecessor Geoffrey Cox QC MP for leaving me with such a strong record to build upon.

One of my first priorities is to continue the Government’s work in rebuilding confidence in our justice system, particularly with victims.

I am proud to be joining the Attorney General’s Office (AGO), a unique and historic government department that makes law and politics work together at the heart of the UK constitution.

Suella Braverman’s biography:

Called to the Bar in 2005, Suella Braverman specialised in public law and judicial review. From 2010-2015 she was on the Attorney General’s Panel of Treasury Counsel. She has defended the Home Office in immigration cases, the Parole Board in challenges by prisoners and the Ministry of Defence in matters relating to injuries sustained in battle.

Suella Braverman was Parliamentary Under Secretary of State at the Department for Exiting the European Union from January to November 2018. She was elected as the Conservative MP for Fareham in May 2015.

Suella was educated at Heathfield School in London and went on to study Law at Queens’ College, Cambridge. She gained a Masters in Law from the University of Paris 1, Pantheon-Sorbonne and qualified as a New York Attorney."
https://www.gov.uk/government/news/boost-for-space-clusters-across-the-uk,Press release,Boost for space clusters across the UK,"Ten space clusters across the UK have been given a boost, thanks to new UK Space Agency funding.",UK Space Agency,2 February 2022,"This story is over a year old.

These regional hubs, known as space clusters, will support new and growing companies, building on local expertise and catalysing investment into the space sector.

Over £600,000 will go towards supporting activities that create jobs and growth, including recruiting space cluster managers, to strengthen local space sector leadership groups and developing new business opportunities.

