,source,id,url,parent_url,cc_url,content_truncated,result,result_text
0,df_selected_urls_2024_p1,80,https://www.gov.uk/government/news/graham-allen-launches-second-report-on-early-intervention,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473360.9/wet/CC-MAIN-20240221002544-20240221032544-00513.warc.wet.gz,"graham allen launches second report on early intervention - gov.uk
cookies on gov.uk
we use some ess",sure start," we are recruiting 4,200 health visitors and expanding programmes such as family nurse partnerships. through establishing the £2bn a year early intervention grant, we have signalled the importance of this agenda. we have committed to maintain a network of sure start children’s centres and to expand the free offer of childcare to disadvantaged two year olds, and put in place measures like the pupil premium. we are encouraging system reform through community budgets and payment by results. this package will e"
1,df_selected_urls_2024_p1,261,https://www.gov.uk/government/news/first-special-and-alternative-provision-free-schools-given-the-green-light,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473598.4/wet/CC-MAIN-20240221234056-20240222024056-00156.warc.wet.gz,"first special and alternative provision free schools given the green light - gov.uk
cookies on gov.u",free school meals,"e right for local children. international evidence shows that giving teachers and heads more freedom in the classroom helps to raise standards in education.
free schools and academies can also prioritise the most disadvantaged children (those eligible for free school meals) in their school admissions. with children eligible for free school meals attracting additional funding through the coalition’s pupil premium - worth £488 per pupil this year - there will be even more incentive for these schools to attrac"
2,df_selected_urls_2024_p1,261,https://www.gov.uk/government/news/first-special-and-alternative-provision-free-schools-given-the-green-light,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473598.4/wet/CC-MAIN-20240221234056-20240222024056-00156.warc.wet.gz,"first special and alternative provision free schools given the green light - gov.uk
cookies on gov.u",school meals,"ht for local children. international evidence shows that giving teachers and heads more freedom in the classroom helps to raise standards in education.
free schools and academies can also prioritise the most disadvantaged children (those eligible for free school meals) in their school admissions. with children eligible for free school meals attracting additional funding through the coalition’s pupil premium - worth £488 per pupil this year - there will be even more incentive for these schools to attract tho"
3,df_selected_urls_2024_p1,403,https://www.gov.uk/government/news/prime-minister-announces-support-for-parents-and-families,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473738.92/wet/CC-MAIN-20240222093910-20240222123910-00387.warc.wet.gz,"prime minister announces support for parents and families - gov.uk
cookies on gov.uk
we use some ess",best start in life," videos showing midwives demonstrating practical advice such as bathing your baby and parents discussing issues that affected them and how they supported each other.
secretary of state for health, andrew lansley said:
”we all want to give our children the best start in life. but sometimes, particularly for first-time parents, bringing a new baby home can be a daunting as well as a happy experience.
”that is why we are determined to help people become more confident in becoming a parent - from pregnancy to t"
4,df_selected_urls_2024_p1,412,https://www.gov.uk/government/news/coasting-schools-meeting,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473738.92/wet/CC-MAIN-20240222093910-20240222123910-00576.warc.wet.gz,"coasting schools meeting - gov.uk
cookies on gov.uk
we use some essential cookies to make this websi",best start in life,"ure, and turned that school around. now he’s going to help us drive the nationwide transformation of our schools.
be in no doubt: this is a government that is incredibly ambitious for all the children in our country - and we will fight for them to get the best start in life.
sign up to receive the prime minister’s newsletter .
share this page
the following links open in a new tab
share on facebook (opens in new tab)
share on twitter (opens in new tab)
published 17 january 2012
is this page useful?
maybe
yes"
5,df_selected_urls_2024_p1,533,https://www.gov.uk/government/news/government-sets-out-further-detail-on-local-government-savings,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947473824.13/wet/CC-MAIN-20240222161802-20240222191802-00153.warc.wet.gz,"government sets out further detail on local government savings - gov.uk
cookies on gov.uk
we use som",sure start," back of the quango state.
the detailed spending decisions outlined today show a clear determination to make the necessary savings whilst minimising the impact on essential frontline services like rubbish collections and protecting spending on schools and sure start. we have focused attention on reducing the centre and it is here that the reductions are the hardest.
steps have been taken to limit the impact on local authorities and make savings proportionally. councils have been given the flexibility they n"
6,df_selected_urls_2024_p1,876,https://www.gov.uk/government/news/changes-to-crisis-loans-protecting-the-vulnerable,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474526.76/wet/CC-MAIN-20240224080616-20240224110616-00298.warc.wet.gz,"changes to crisis loans – protecting the vulnerable - gov.uk
cookies on gov.uk
we use some essential",sure start,"009-10.
social fund: the current scheme
the social fund currently consists of a discretionary and a regulated scheme.
discretionary scheme: community care grants, budgeting loans and crisis loans.
regulated scheme: cold weather payments, funeral payments, sure start maternity grants and winter fuel payments.
social fund: reform
we have already announced as part of wider welfare reform that the discretionary elements will be reformed from 2013.
the welfare reform white paper announced that local authorities "
7,df_selected_urls_2024_p1,1129,https://www.gov.uk/government/news/alternative-provision-overhaul-to-fix-broken-system-and-improve-standards,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474544.15/wet/CC-MAIN-20240224180245-20240224210245-00028.warc.wet.gz,"alternative provision: overhaul to fix ‘broken system’ and improve standards - gov.uk
cookies on gov",free school meals,"ar. of children involved in the riots and brought before the courts, two thirds had special educational needs and on average missed almost one day of school a week. they were also more likely to live in the 10 per cent lowest income areas, to be receiving free school meals and to have been excluded from school at least once.
charlie taylor said:
we currently have a flawed system that fails to provide suitable education and proper accountability for some of the most vulnerable children in the country. if we "
8,df_selected_urls_2024_p1,1129,https://www.gov.uk/government/news/alternative-provision-overhaul-to-fix-broken-system-and-improve-standards,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474544.15/wet/CC-MAIN-20240224180245-20240224210245-00028.warc.wet.gz,"alternative provision: overhaul to fix ‘broken system’ and improve standards - gov.uk
cookies on gov",school meals,"f children involved in the riots and brought before the courts, two thirds had special educational needs and on average missed almost one day of school a week. they were also more likely to live in the 10 per cent lowest income areas, to be receiving free school meals and to have been excluded from school at least once.
charlie taylor said:
we currently have a flawed system that fails to provide suitable education and proper accountability for some of the most vulnerable children in the country. if we fail "
9,df_selected_urls_2024_p1,1336,https://www.gov.uk/government/news/pupil-premium-schools-to-get-even-more-cash-this-year,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474573.20/wet/CC-MAIN-20240225003942-20240225033942-00605.warc.wet.gz,"pupil premium: schools to get even more cash this year - gov.uk
cookies on gov.uk
we use some essent",free school meals,"at coalition government
england’s most disadvantaged pupils are set to benefit from an extra £58 each after the department for education announced this year’s pupil premium will increase to £488.
schools receive the extra cash for every child eligible for free school meals (fsms). the money has been released because fewer-than-expected children have registered for fsms this year.
children’s minister sarah teather said:
the pupil premium will benefit poorer pupils, providing extra money directly for those pu"
