,url,category,title,subtitle,from,published,content,Policy Instrument,Main Classification,Secondary Classification,ID
0,https://www.gov.uk/government/news/uk-sanctions-target-30-corrupt-political-figures-human-rights-violators-and-perpetrators-of-conflict-related-sexual-violence-around-the-world,Press release,"UK sanctions target 30 corrupt political figures, human rights violators and perpetrators of conflict-related sexual violence around the world","The Foreign Secretary announced sanctions that target corrupt political figures, those violating human rights, and perpetrators of sexual-violence in conflict.","Foreign, Commonwealth & Development Office, Preventing Sexual Violence in Conflict Initiative and The Rt Hon James Cleverly MP",9 December 2022,"Foreign Secretary James Cleverly has today (9 December) announced a new wave of sanctions that targets corrupt actors, and those violating and abusing human rights, as well as perpetrators of sexual violence in conflict.

This wave, co-ordinated with international partners, marks International Anti-Corruption Day and Human Rights Day.

The package includes individuals and entities involved in a wide range of grievous activities – including the torture of prisoners, the mobilisation of troops to rape civilians, and systematic atrocities.

These sanctions demonstrate the UK’s commitment to defend free societies and the human rights of everyone, everywhere.

Foreign Secretary James Cleverly said:

It is our duty to promote free and open societies around the world.

Today our sanctions go further to expose those behind the heinous violations of our most fundamental rights to account.

We are committed to using every lever at our disposal to secure a future of freedom over fear.

Since gaining new powers following our exit from the EU, the Foreign, Commonwealth and Development Office has used targeted sanctions across multiple regimes to hold those committing these egregious acts, whether in Russia, Iran, Myanmar, or elsewhere, to account.

Today’s sanctions include targets from 11 countries across 7 sanctions regimes – the most that the UK has ever brought together in 1 package.

As part of today’s package, the UK has designated 8 individuals under ourGlobal Human Rights regime, which allows the UK to stop those involved in serious human rights abuses and violations from entering the country, channelling money through UK banks, or profiting from our economy. These sanctions include:

The UK is also using geographical sanctions regimes to ensure that violators of human rights are held to account.

10 Iranian officials connected to Iran’s judicial and prison systems, have been sanctioned.

This includes 6 individuals linked to the Revolutionary Courts that have been responsible for prosecuting protestors with egregious sentences including the death penalty.

In addition, Ali Cheharmahali, and Ghloamreza Ziyayi, former directors of the Evin Prison, in Tehran, a facility notorious for the mistreatment of both Iranian and foreign detainees, have been sanctioned. Allah Karam Azizi, warden of Razee Shahr Prison, has also been sanctioned.

The UK has also sanctioned the Russian Colonel Ibatullin for his role as the commander of the 90th Tank Division, which has been on the front line since Russia began its illegal full-scale invasion of Ukraine.

Sexual violence in conflict, which is currently happening in at least 18 active conflicts around the world, is an abhorrent act and and prohibited by international law.

In many cases it is used as a deliberate method of warfare. Six individuals and entities are being sanctioned today – utilising one of the tools at the UK’s disposal to hold perpetrators of conflict-related sexual violence (CRSV) to account.

Amongst those sanctioned today are Gordon Koang Biel and Gatluak Nyang Hoth, the County Commissioners for Koch and Mayendit in South Sudan. Both individuals were involved in the conflicts in the Unity State between February and May 2022, and mobilised troops to rape civilians.

The Katiba Macina group, also known as the Macina Liberation Front, in Mali, has been sanctioned. The group is known for perpetrating sexual violence, including the organisation of forced marriages

Today’s sanctions also target those involved in the Myanmar military junta. The security forces are known for committing systematic atrocities against the people of Myanmar, including massacre, torture, and rape. Designations include:

The UK is also today using itsGlobal Anti-Corruption regimeto sanction an additional 5 individuals.

Lining their pockets through corruption and theft, corrupt actors have a corrosive effect on the communities around them – undermining democracy and depriving countries of vital resources for their own gain.

As a result, over 2% of global GDP is lost to corruption every single year.

The UK is using sanctions to tackle serious corruption. Today’s designations include:

The UK will continue to use all levers at our disposal to tackle corrupt actors and morally reprehensible violations and abuses, including sexual violence, of human rights around the world.

Today’s designations further develops the UK’s use of sanctions this year to tackle serious human rights violations and abuses and corrupt actors.

In Russia the UK has sanctioned over 1,200 individuals, including members of the Russian military responsible for atrocities. In Iran our sanctions have targeted the officials responsible for heinous human rights violations.

The UK supports those seeking to uphold these values of freedom and democracy, including through:

All individuals are subject to an asset freeze and travel ban. All entities are subject to an asset freeze.

Crimea and Russia:

Iran:

Kosovo:

Mali:

Moldova:

Myanmar:

Nicaragua:

Pakistan:

Serbia:

South Sudan:

Uganda:

TheGlobal Human Rights Sanctions Regimecan be used to impose sanctions for involvement in serious violations or abuses of 3 human rights:

​TheGlobal Anti-Corruption Sanctions Regimecan be used to impose sanctions for involvement in:

TheIran (Human Rights) Sanctions Regimecan be used to impose sanctions for involvement in:

TheMali Sanctions Regimecan be used to impose sanctions for involvement in a number of activities, including:

TheMyanmar Sanctions Regimecan be used to impose sanctions for involvement in:

TheRussia Sanctions Regimecan be used to impose sanctions for involvement in:

TheSouth Sudan Sanctions Regimecan be used to impose sanctions for involvement in a number of activities, including:

Asset freeze: an asset freeze prevents any UK citizen, or any business in the UK, from dealing with any funds or economic resources which are owned, held or controlled by the designated person. UK financial sanctions apply to all persons within the territory and territorial sea of the UK and to all UK persons, wherever they are in the world. It also prevents funds or economic resources being provided to or for the benefit of the designated person.

Travel ban: a travel ban means that the designated person must be refused leave to enter or to remain in the United Kingdom, providing the individual is an excluded person under section 8B of the Immigration Act 1971.

Media enquiries

Emailnewsdesk@fcdo.gov.uk

Telephone 020 7008 3100

Email the FCDO Newsdesk (monitored 24 hours a day) in the first instance, and we will respond as soon as possible.",Targeted Sanctions,Legislative,,id25_0
1,https://www.gov.uk/government/news/new-funding-to-help-universities-tackle-antisemitism-announced-on-holocaust-memorial-day?utm_source=8e297f92-7b1d-4fce-9a37-f1a1016abf0e&utm_medium=email&utm_campaign=govuk-notifications&utm_content=immediate,Press release,New funding to help universities tackle antisemitism announced on Holocaust Memorial Day,"Communities Secretary announces £500,000 of new funding for a programme supporting universities in tackling antisemitism on campus over 3 years.","Ministry of Housing, Communities & Local Government (2018 to 2021) and The Rt Hon Robert Jenrick MP",28 January 2020,"On 75th anniversary of the liberation of Auschwitz-Birkenau, Communities Secretary announces half a million pounds of new funding to help universities tackle antisemitism on campus

450 student leaders, journalists and academics to be taken to Auschwitz over the next 3 years and expected to educate tens of thousands of students on their return

Communities Secretary also demands all universities and Local Authorities adopt theIHRAdefinition of antisemitism

Communities Secretary Robert Jenrick has announced £500,000 of new funding for a programme supporting universities in tackling antisemitism on campus over 3 years.

Announced on the 75th anniversary of the liberation of Auschwitz-Birkenau, the money will support the Holocaust Education Trust (HET) to help educate the next generation about the horrors of the holocaust and the importance of stamping out antisemitism and intolerance.

Each year, 150 university student leaders, student journalists and academics from around the country will hear from Holocaust survivors and visit the former Nazi concentration camps at Auschwitz-Birkenau, where they will learn about the importance of stamping out antisemitism.

Upon their return, students will participate in a seminar which will deal explicitly with campus-specific issues and how to identify and tackle antisemitism.

To drive engagement amongst the student population, the programme will work with influential student publications and media, as well as student leaders and networks to disseminate the messages they have heard first hand to tens of thousands of students across the country.

The Communities Secretary has also insisted that all universities and Local Authorities must adopt the International Holocaust Remembrance Alliance (IHRA) definition of antisemitism.

He has written to all local authorities asking them to adopt the internationally-recognised definition and will shortly publish a list of those who have taken this forward and urged others to follow.

Communities Secretary Rt Hon Robert Jenrick MP said:

As we mark the 75th anniversary of the liberation of Auschwitz-Birkenau, it is our duty to ensure that as the last survivors remain with us, their stories are shared with future generations.

Education is one of the most powerful tools we can use to combat antisemitism. I am proud this government will fund the Holocaust Educational Trust to educate thousands of students and academics in the horrors of the Holocaust.

This additional £500,000 of funding will allow hundreds of university students and academics each year to visit Auschwitz-Birkenau, hear from the last Holocaust survivors and, on return to their campuses, help educate students on the importance of tackling antisemitism.

I have also been clear that all universities and local councils that have not already done so, must adopt theIHRAdefinition of antisemitism. I will shortly publish a list of councils who have adopted the definition and will urge others to follow.

The student programme will be delivered by the Holocaust Educational Trust in partnership with the Union of Jewish Students. It follows the highly successful 2018-19 scheme which identified 30 universities in England where there had been reports of high levels of antisemitism or racism.

Funded by the Ministry of Housing, Communities and Local Government (MHCLG), the next phase will be a chance for a greater number of universities to get involved and builds on fromHET’s highly successful ‘Lessons from Auschwitz’ programme for school students.

Chief Executive of the Holocaust Educational Trust Karen Pollock MBE said:

As we mark 75 years since the liberation of Auschwitz-Birkenau, we are reminded today of the importance of speaking out against antisemitism, wherever it is found.

Student leaders themselves are at the coalface on campus combatting the antisemitism that blights many students’ university experience. We are proud therefore that thanks to new government funding we will be able to offer a unique opportunity for student leaders and Vice-Chancellors for the next three years to visit Auschwitz.

They will see for themselves the site where 1.1 million people were murdered, to understand where hate can ultimately lead and I hope this experience will empower them to stand up to prejudice, hatred and division on campus and in broader society.

We are proud to partner with the Union of Jewish Students to deliver this important project.

Daniel Kosky, Union of Jewish Students Campaigns Organiser:

We are immensely grateful that our vitally important partnership withHETcan continue into the future with the support of the Ministry of Housing, Communities and Local Government. The 3-year commitment to taking student and university leaders to Auschwitz-Birkenau will be a vital tool in tackling antisemitism and hatred on campus.

We have sadly seen an increase of antisemitic incidents on campus, with distressing incidents of Holocaust trivialisation at student parties, the use of antisemitic stereotypes on student social media groups, and an increase in antisemitism in campus discussion around Israel.

We are determined to combat this and welcome this significant contribution to our longstanding work bringing students of all faiths and backgrounds together to create cohesive campus communities.

On Thursday 23 January the Communities Secretary attended the Fifth World Holocaust Forum at Yad Vashem in Jerusalem. He attended the event entitled, “Remembering the Holocaust: Fighting Antisemitism,” to mark the 75th anniversary of the liberation of Auschwitz and International Holocaust Remembrance Day.

HET’s new programme will bring together 150 university staff and student leaders from across the country each year through education on the Holocaust, anti-racism work, British values and understanding of faith.

The scheme will underpin joint activity with the Union of Jewish Students to combat prejudice on campus and promote community cohesion.

The new programme will encompass all universities, targeting 450 university student leaders directly who will in turn reach a further 24,000 university students.

HET’s Lessons from Auschwitz Project for sixth form students and teachers is now in its nineteenth year.

It has taken over 41,000 students and teachers from across the UK to the Nazi concentration and death camp Auschwitz-Birkenau, as well as many MPs and other guests.

For more information see:Lessons From Auschwitz

In 2018 to 2019HETreached 125 senior leaders and student leaders.

The project identified 30 universities in England where there had been reports of high levels of antisemitism and/or racism and of these 22 institutions 73% participated.

Four delegations of National Union of Students (NUS), Student Union and student faith leaders went alongside existing LFA trips to Auschwitz, combined with orientation seminars and follow up workshops.

Participants have included two formerNUSPresidents,NUSVice Presidents for Society and Citizenship, Further Education, Welfare and Union Development; aNUSLGBT Officer; Presidents of the Students Unions at the universities of Abertay, Brunel, City (London), Coventry, Kent, Leeds Trinity, Lincoln, Nottingham, South Wales, St. Andrews, Sussex and Swansea; Education, Campaigns, and Welfare Officers from University College London, Warwick, and Trinity College Dublin.

Participants in these programmes have facilitated dozens of campus events to combat hatred and prejudice and to mark Holocaust Memorial Day. This activity has reached a further 4000 students on campuses from Exeter to Edinburgh.

The Jewish Leadership Council are working alongsideMHCLGto encourage local authorities to adopt theIHRA.

For more information on the definition and illustrations see: Working Definition of Antisemitism

Office address and general enquiries

2 Marsham StreetLondonSW1P 4DF

Contact formhttps://www.gov.uk/gui...

General enquiries:  please use this number if you are a member of the public 030 3444 0000

If your enquiry is related to COVID-19 please check our guidance page first before you contact us -https://www.gov.uk/guidance/coronavirus-covid-19-guidance-for-local-government.If you still need to contact us please use the contact form above to get in touch, because of coronavirus (COVID-19). If you send it by post it will not receive a reply within normal timescale.

Media enquiries

Emailnewsdesk@communities.gov.uk

Please use this number if you are a journalist wishing to speak to Press Office 0303 444 1209

Social media - MHCLG

Twitter -https://twitter.com/mhclgFlickr -http://www.flickr.com/photos/mhclgLinkedIn -http://www.linkedin.com/company/mhclg",Funding to the Holocaust Educational Trust (HET) to support university visits to Auschwitz-Birkenau and adoption of the IHRA definition of antisemitism.,Welfare,,id25_1
2,https://www.gov.uk/government/news/nhs-staff-receive-pay-rise,Press release,NHS staff receive pay rise,Most eligible dentists and doctors will receive at least a 6% pay rise. Pay for junior doctors will be increased by an average of around 8.8%.,Department of Health and Social Care and The Rt Hon Steve Barclay MP,13 July 2023,"Pay scales for most doctors and dentists to increase by at least a 6% this year after the government accepted the recommendations from the independent pay review bodies in full.

Around 130,000 full-time equivalent doctors and dentists, including junior doctors and consultants, will see their pay rise in line with the Review Body on Doctors’ and Dentists’ Remuneration’s (DDRB) recommendations. Pay for junior doctors will be increased by 8.8% on average. The agreement means pay for a first year junior doctor will increase by 10.3%. Pay for the most experienced junior doctors will increase by 8.1%. For consultants, this means a rise of 6%.

Health and Social Care Secretary Steve Barclay said:

We hugely value the work of all NHS staff.

That’s why we’re giving junior doctors, consultants and senior NHS staff a fair and reasonable pay rise as recommended by the independent pay review bodies.

But it also balances the need to keep inflation in check while giving some staff significant pay increases.

We’ve made it clear this pay award is not up for negotiation and urge those unions still in dispute with the government to end their strikes immediately.

As recommended by theDDRB, most dentists and doctors will receive at least a 6% pay rise. Junior doctor pay will be increased by 6% plus £1,250.

Average basic pay for a first year junior doctor will increase from £29,300 to £32,300 and for a junior doctor in core training with 3 years’ experience it will increase from £40,200 to £43,900. For consultants andSASdoctors on pre-2021 contracts, this is on top of the 4.5% pay rise they received last year. Some staff will also benefit from performance pay, overtime, pay progression and pay rises from promotion, alongside the pay uplift.

The government has been clear about the need for pay awards to recognise the hard work of the public sector while meeting the Prime Minister’s priority to halve inflation and managing public spending effectively.

More borrowing would add pressures on inflation at exactly the wrong time, risking higher interest rates and higher mortgage rates. The government plans to increase the main rate of the immigration health surcharge - to ensure it covers the full healthcare costs of those who pay it, having been frozen for the last 3 years despite high inflation and wider pressures - to at least £1,035, and the discounted rate for students, their dependents, those on Youth Mobility Schemes and under-18s to £776. The government will fund this pay award through prioritisation within existing departmental budgets, with front line services being protected.

Last month one million NHS staff, including nurses and paramedics, received a 5% pay rise worth at least £1,065 to full-time staff as well as 2 one-off payments worth at least £1,655.

Today’s announcement comes weeks after the NHS published its first everNHS Long Term Workforce Plan, backed by over £2.4 billion government funding, which will deliver the biggest training expansion in NHS history and recruit and retain hundreds of thousands more staff over the next 15 years.

The pay review bodies considered a range of evidence from various organisations.

All pay awards will be backdated to 1 April 2023. This pay award is only applicable to NHS staff in England. The 2023 to 2024 pay uplift for NHS staff directly employed by NHS providers will be funded by NHS England through system allocations.

The government asked theDDRBandSSRBfor recommendations for NHS staff not already in multi-year deals - this includes junior doctors, dentists in training, consultants,SASdoctors on old contracts, dentists and salariedGPs.

The full Pay Review Body reports can be found on GOV.UK. TheReview Body for Doctors’ and Dentists’ Remuneration(covering doctors and dentists not in multi-year deals) recommended a 6% increase for the majority of its remit group. Pay for junior doctors will increase by around 8.8% on average. This is because theDDRBrecommended 6% plus £1,250 on a consolidated basis.

TheSenior Salaries Review Body(covering very senior managers in the NHS and executive senior managers inDHSC’s arm’s length bodies) recommended a 5% increase, with a further 0.5% in each employing organisation used to address specific pay anomalies.

Following acceptance of the Agenda for Change (AfC)  offer by the NHS Staff Council, the government confirmed it would no longer be seeking recommendations on the 2023 to 2024 pay award from the NHS Pay Review Body (NHSPRB) for non-medical staff on theAfCcontract.

The government has since received thereport from theNHSPRBwith their observations on the pay deal in England which we welcome and we have published at the same time as theDDRBandSSRBreports.

Those already in multi-year deals were not in scope of the pay review body’s recommendations this year. TheDDRBwere not asked to make a pay recommendation forGPpartners as they are subject to a 5-year investment agreement to 2023 to 2024, which was agreed with NHS England and theBMAin 2019. For salariedGPs, the 6% award will raise the minimum salary by around £3,900 and the maximum by around £5,900.

TheGPcontract will be uplifted to provide funding for salaried general practice staff. This funding will be backdated to April 2023 and it is our expectation this funding is passed on promptly to all salaried general practice staff. As self-employed contractors to the NHS, it is forGPpractices to determine uplifts in pay for their employees.

The government is absolutely committed to ensuring the NHS has the funding it needs to deliver for patients.

The government is committed to living within its means and delivering value for the taxpayer, and therefore it’s prioritising within existing departmental funding to fund these uplifts.

The government is working in collaboration with the NHS Staff Council toimplement the NHS pay deal.",Pay awards for NHS staff,Welfare,,id25_2
3,https://www.gov.uk/government/news/occupied-palestinian-territories-joint-statement-21-august-2025?utm_source=cio,News story,"Occupied Palestinian Territories: joint statement, 21 August 2025",The UK and 26 international partners gave a joint statement on the Occupied Palestinian Territories.,"Foreign, Commonwealth & Development Office and The Rt Hon David Lammy MP",21 August 2025,"Joint statement by:

The decision by the Israeli Higher Planning Committee to approve plans for settlement construction in the E1 area, East of Jerusalem, is unacceptable and a violation of international law.

We condemn this decision and call for its immediate reversal in the strongest terms.

Minister Smotrich says this plan will make a two-state solution impossible by dividing any Palestinian state and restricting Palestinian access to Jerusalem. This brings no benefits to the Israeli people. Instead, it risks undermining security and fuels further violence and instability, taking us further away from peace.

The Government of Israel still has an opportunity to stop the E1 plan going any further. We encourage them to urgently retract this plan.

Unilateral action by the Israeli government undermines our collective desire for security and prosperity in the Middle East. The Israeli government must stop settlement construction in line with UNSC Resolution 2334 and remove their restrictions on the finances of the Palestinian Authority.

Media enquiries

Emailnewsdesk@fcdo.gov.uk

Telephone 020 7008 3100

Email the FCDO Newsdesk (monitored 24 hours a day) in the first instance, and we will respond as soon as possible.",Call for the Israeli government to retract the E1 plan and remove restrictions on the finances of the Palestinian Authority.,Other,,id25_3
4,https://www.gov.uk/government/news/willetts-welcomes-crew-of-space-shuttle-atlantis-to-portsmouth-historic-dockyards,News story,Willetts welcomes crew of space shuttle Atlantis to Portsmouth Historic Dockyards,Minister for Universities and Science David Willetts welcomed NASA astronauts to the UK this weekend as they touched down for a two-week nationwide tour to inspire school children about space and science.,"Department for Business, Innovation & Skills and The Rt Hon Lord David Willetts",27 June 2010,"The NASA Atlantis Shuttle crew of STS-132 Mission, Commander Ken Ham and his crew Garrett Reisman, Steve Bowen, Tony Antonelli, Michael Good and British-born Piers Sellers, arrived in Portsmouth where they carried out a number of public activities and events.

Only a few short weeks ago in May, the crew had undertaken a 12 day mission to the International Space Station to deliver an integrated cargo carrier and a Russian built mini research module and to carry out maintenance work during three space walks.

While out in space, the astronauts shot a 20-minute film which premiered at a public lecture they presented at Action Stations in Portsmouth Historic Dockyard on Sunday night.

Minister for Universities and Science David Willetts, who attended the crew’s lecture, said:

“Space may be the final frontier but it is often the starting point for inspiring young people to study science, engineering and maths at school. They are our next generation of scientists who are vital to the UK’s future. That’s why I’m delighted to welcome personally the Atlantis crew to our shores on their mission to engage UK children in STEM subjects and encourage them all to reach for the stars.”

After Portsmouth, the crew move onto Cardiff, Durham, Newcastle and London for the rest of the tour.","Minister for Universities and Science David Willetts’ statement encouraging STEM subjects and encouraging young people to study science, engineering and maths.",Informational,,id25_4
5,https://www.gov.uk/government/news/culture-secretary-sets-out-plans-to-turbocharge-the-economic-impact-of-british-filmmaking,Press release,Culture Secretary sets out plans to turbocharge the economic impact of British filmmaking,Culture Secretary Lisa Nandy has today laid legislation in Parliament introducing a new tax relief for independent British films to boost the growth of the UK’s world class film sector.,"Department for Culture, Media and Sport and The Rt Hon Lisa Nandy MP",9 October 2024,"She also told the Commons she would be working on a creative skills pathway to improve career opportunities for young people in the film industry. It comes as Pinewood Studios announced a new hub at its Buckinghamshire site to support Britain’s indie filmmakers.

In a statement in the House of Commons, she said:

Our independent film sector has produced films like Pride, The King’s Speech and Bend it Like Beckham that shows our heritage, our communities, and our culture to the world. It acts as a springboard from the grassroots for world class UK talent both on screen and behind the scenes.

But while major film production has flourished, smaller budget independent films have not received sufficient support over the last decade. They face multiple challenges - rising production costs, crew shortages, and declining revenues which have hampered the growth of this vital part of the sector.

While too much of our creative industries have traditionally been concentrated in just one part of the country, independent film thrives everywhere given the chance. So this uplift will not only boost creativity but create jobs, growth and investment in every nation and region. Through this we will help the independent film sector to reach its full potential.

In response to the tax relief, Pinewood hastoday announceda new Independent Film Hub at its world-famous studios in Buckinghamshire. It will offer British indie filmmakers taking advantage of the tax relief support services and access to sound stages and workshop space.

As well as confirming the tax relief, Nandy announced that the government will work with Skills England to improve career opportunities for young people in the creative industries. She said:

Too often people do not see themselves and their communities reflected in the story we tell ourselves about ourselves as a nation. And we are determined that this is going to change.

The skills shortage that has been ignored for too long acts as a brake on the ambitions of this incredible sector. That is why this Government has already launched Skills England, to bring the skills we need for a decade of national renewal for our communities, businesses and country.

We will focus apprenticeships once more on young people, to set them up to succeed and help fill the 49,000 vacancies in the creative sector.

The Secretary of State for Education is overhauling the apprenticeship levy in order to provide better career opportunities for young people. Building on the success of existing high quality apprenticeships in the creative industries, we will work closely with Skills England to ensure the new flexibilities announced by the Prime Minister last month offer shorter apprenticeships and improve the offer for a creative skills pathway for young people embarking on careers in the creative sector.

Every child should have the chance to live a richer, larger life and consider a career in the arts.

Nandy also confirmed that yesterday the Ministry of Housing, Communities and Local Government recovered an appeal against the refusal of planning permission for Marlow Film Studios in Buckinghamshire. The planning merits of the proposal will now be reviewed by their Ministers in detail before reaching a decision.

This evening Nandy will go on to attend the opening of the 68th London Film Festival at the BFI Southbank which is opening with the World Premiere of Blitz, the new Second World War film from one of Britain’s most successful directors, Steve McQueen.

Today’s tax relief announcement is the latest in a series of interventions ahead of next week’s International Investment Summit to drive investment and growth, including in the creative industries.",Tax relief announcement,Monetary,Fiscal incentives,id25_5
6,https://www.gov.uk/government/news/foreign-secretary-and-german-foreign-minister-express-concern-about-violence-in-kosovo,News story,Foreign Secretary and German Foreign Minister express concern about violence in Kosovo,"Foreign Secretary William Hague and German Foreign Minister Guido Westerwelle have said they are ""seriously concerned"" about the violence on the border between Serbia and Kosovo.",Foreign & Commonwealth Office and The Rt Hon William Hague,28 July 2011,"In a joint statement the two Foreign Ministers said:

“We are seriously concerned about the recent outbreak of violence at the border between Serbia and Kosovo. We jointly condemn all acts of violence. We underline the necessity to respect the territorial integrity of Kosovo, to refrain from further acts of violence and from any steps that may have a negative impact on stability and security.

“In this regard, we actively and fully support the mediated dialogue under the auspices of Lady Ashton on behalf of the European Union. The dialogue provides a crucial opportunity to find peaceful solutions to outstanding issues between Belgrade and Pristina, and to move both Serbia and Kosovo towards a secure future in the EU.

“We have said in the past and we reiterate now that the way neighbourhood issues are dealt with is a key benchmark for an EU perspective. Therefore, Serbia and Kosovo need to focus, in the dialogue under EU-auspices, on all six issues currently under discussion as well as on progress in northern Kosovo. Tangible progress in all these areas will play a role in the EU’s discussions in the autumn.”",Support for mediated dialogue under the auspices of Lady Ashton,Informational,,id25_6
7,https://www.gov.uk/government/news/foreign-office-minister-welcomes-adoption-of-un-resolution-on-human-rights-situation-in-iran,News story,Foreign Office Minister welcomes adoption of UN resolution on human rights situation in Iran,Foreign Office Minister Alistair Burt welcomed the adoption which demonstrates the depth of international concern at the worsening human rights situation in Iran.,Foreign & Commonwealth Office and The Rt Hon Alistair Burt,20 December 2011,"Speaking today he said:

“I welcome the adoption of this resolution on the human rights situation in Iran by the Plenary of the UN General Assembly.  The resolution passed by an increased majority of votes, demonstrating the depth of international concern at the worsening human rights situation in Iran.  The human rights record in Iran remains appalling and whilst the world focuses on new human rights challenges we must not forget the continued suffering of people in Iran.

“Over the last twelve months, the Iranian regime has stepped up its campaign of intimidation and human rights abuses. The rate of executions is alarming, with many carried out in public and following trials that fall far short of international standards.  Crackdowns on any form of dissent continue, with some reports suggesting Iran has the highest number of journalists in prison of any country in the world.  Alarmingly, two opposition leaders have been under house arrest since February 2011, with no credible justification.

“The UK will continue to lead international action to address the deteriorating human rights situations in Iran and we call once again on the Iranian regime to respect the universal freedoms of their citizens”.",Call on the Iranian regime to respect the universal freedoms of their citizens,Other,,id25_7
8,https://www.gov.uk/government/news/the-future-of-cyberspace-a-global-challenge,News story,The future of cyberspace: a global challenge,"Ahead of the London Conference on Cyberspace, Foreign Secretary William Hague talks about the social and economic benefits of the internet, and the need to ensure a safe and secure cyberspace for the future.",Foreign & Commonwealth Office and The Rt Hon William Hague,18 October 2011,"This article has been placed in 39 countries worldwide, including with China News Week, Spiegel Online (Germany), Chosun Ilbo (RoK),  Valor Economico (Brazil), This Day (Nigeria) and Al Arabiya (Dubai). The Foreign Secretary also encouraged readers to submit questions via hisFacebookandTwitteraccounts which they would like the Conference to address. Some of these questions will be put to delegates in London.

The advent and development of cyberspace is transforming our world and revolutionising our everyday lives. This may become a global challenge and require a global, co-ordinated response. However, until now, the debate around what form this response should take has been fragmented and lacked focus.

The UK believes this must change. More international consensus is urgently needed. And this needs to be a collective endeavour, involving the major actors in cyberspace.

That is why I have invited representatives from not just governments, but also civil society and business to the London Conference on Cyberspace on 1 and 2 November.  No one government, or country, has the answers. Together we must begin to address how we can maintain the economic and social benefits of the Internet and guard against the criminal and security cyber threats without suffocating future innovation.

Access to the Internet has grown at an incredible rate: from 16 million users in 1995 to nearly 2 billion today. This rapid development of the Web, with its connective power, has created enormous economic and social opportunities which we couldn’t have foreseen less than two decades ago.

The expansion of our networked world is in all our interests: for every 10% increase in broadband access, it is estimated that global GDP will rise by an average of 1.3%. As well as encouraging competition and efficiency, it is opening up new markets.

Web-based industry has already become a critical part of our economies. The UK’s industry is already worth £100 billion, accounting for 8% of our total GDP, and is forecast to grow at 10% over the next four years. Globally, e-commerce sees US $8 trillion change hands each year.

In an increasing number of countries, we now rely on the Internet for almost everything we do, from getting our job done and learning new skills to keeping in touch with friends and even paying our taxes.

The web also fosters innovation and creativity, as well as educating whole generations, not least by granting rapid access to information and ideas. On Google alone, over 1 billion searches are made every day.

Our reliance on cyber blurs geographical boundaries, breaks down traditional cultural and religious divides, brings families and friends closer together and enables contact between those who share common interests or concerns. It has changed the way we all communicate.

The internet has fostered transparency and allowed individuals to hold their governments to account.  For some, the opportunities are far more profound. The Arab Spring has shown how the ability to share ideas has brought previous unimagined changes and helped ordinary citizens to stand up against oppressive regimes, highlighting their brutality to the rest of the world.

The provision of public services, the response to emergencies and natural disasters, as well as the ability to solve crimes are being improved immeasurably through the use of cyber.

In developing countries, the Internet is already making a difference and giving many a better future, from educating rural communities to enabling the remote monitoring of HIV patients and predicting outbreaks of disease.

But the rise of the networked world has also produced significant challenges which undermine these benefits and pose a serious threat to reaping the full potential of a cyber world.

Progress has been made in recent years to enhance global connectivity. Yet the digital divide remains substantial: 95% of Icelanders have Internet access, compared to only 0.1% of Liberians. Two thirds of the world’s population is still unable to log on.

Cyber also provides opportunities for criminals, who use it to steal identities and ideas, defraud governments and businesses, as well as exploit the most vulnerable in our societies. The financial cost of cybercrime is substantial, as much as $1trillion per year globally. The human cost is far greater.  Terrorists also use the Internet to plan murderous attacks and flood chat rooms with their poisonous ideology to recruit the next generation.

Repressive governments use advances in technology to violate their citizen’s rights; restricting privacy and freedom of expression and preventing access to information that so many of us take for granted. It has also opened up new channels for States to launch hostile attacks on one another by damaging infrastructure or stealing secrets, this has promoted a fear of ‘cyber war’. The threat is real: there are approximately 20,000 malicious emails sent to British government networks every month; 1,000 of these were deliberately sent to attack these networks.

We do not underestimate the difficulties ahead. Some countries do not share our view of the positive impact of the Internet. Achieving the broad, international consensus we need will not be easy. It will take time.

This is one of the great challenges of our time. Nobody controls the Internet; and we can’t leave its future to chance. We have the opportunity to secure a bold and innovative future but we also face the risk that the internet is used as a force for harm. We must start to act now if we are to protect and preserve the tremendous opportunities that the development of cyberspace offers us all.

In London, we hope to set an agenda that will allow the world to enjoy the full benefits of a safe and secure cyberspace for generations to come.",London Conference on Cyberspace,Other,,id25_8
9,https://www.gov.uk/government/news/foreign-secretary-hosts-human-rights-advisory-group-meeting,News story,Foreign Secretary hosts Human Rights Advisory Group meeting,"On Monday 19 December the Foreign Secretary held the latest meeting of the Advisory Group on Human Rights. The Group discussed countries of particular concern, business and human rights and freedom of religion or belief.",Foreign & Commonwealth Office and The Rt Hon William Hague,19 December 2011,"Speaking following the meeting the Foreign Secretary said:

“Since the Advisory Group on human rights was established a year ago, I have seen it develop into a credible forum for constructive engagement with the wider human rights community, on the Government’s international human rights policy. Today’s meeting was a valuable opportunity to focus discussion on specific countries where the human rights record is of particular concern, including a number in the Middle East and North Africa. We also discussed business and human rights - how we can integrate the human rights and prosperity agenda using a more joined up approach; and finally, freedom of religion or belief, exploring what more could be done to prevent the persecution of religious minorities, as well as other important issues.

“I want to take this opportunity to thank the group’s members for their active contribution in helping shape discussions, sharing their perspectives on issues,  which has been insightful  and informative. I look forward to continuing to working together to address matters over the coming year.”",Advisory Group on human rights,Institutional,,id25_9
